Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
unz.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
newsbreakhere.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
en-vovle.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
amplifyingglass.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
wakeupthesheep.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
lifesitenews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
stillnessinthestorm.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
channel77news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
weeklystandard.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
eaglerising.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
familysecuritymatters.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
heavy.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
theintercept.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
willyloman.wordpress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
truthrevolt.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
nationalufocenter.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
worldstoriestoday.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
nymeta.co,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
investmentwatchblog.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
conservativestate.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
nydailynews-tv.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
thenationalmarijuananews.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
lifezette.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
breitbart.com,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3
trueamericans.me,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
awarenessact.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
president45donaldtrump.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
therightscoop.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
theinternetpost.net,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
infiniteunknown.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1
tmzcomedy.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
drrichswier.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
topinfopost.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
associatedmediacoverage.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
rawforbeauty.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
youngcons.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
americanpresident.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
libertyunyielding.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
holyobserver.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
wikispooks.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
thecommonsenseshow.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
gopthedailydose.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
newsphd.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
usanewspolitics.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
trueactivist.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
konkonsagh.biz,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
newsoftrump.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
usanewsflash.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
nephef.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
conservativeview.info,No,No,No,No,No,No,No,No,No,No,No,Yes,1
departed.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1
politicsusanews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
financialsurvivalnetwork.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
americasfreedomfighters.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
allnewspipeline.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dailyheadlines.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1
rumorjournal.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
teddystick.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
redstatewatcher.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
empirenews.net,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8
nodisinfo.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
conservativebyte.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
heresyblog.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1
prepperwebsite.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
newpoliticstoday.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
react365.com,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,5
themoralofthestory.us,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thephaser.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
heathenwomen.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
thelibertybeacon.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dcgazette.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usainfobox.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
liberalbias.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
twitchy.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
sundayinquirer.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
clashdaily.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
nationalvanguard.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usadailythings24.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
nydailynews.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
wakingtimes.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
therightists.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
dhs.gov,No,No,No,No,No,No,No,No,Yes,No,No,No,1
bb4sp.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
conservativefighters.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
pakalertpress.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
fprnradio.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
mm4a.org,No,No,No,No,No,No,No,No,Yes,No,No,No,1
prntly.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usapolitics24hrs.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thebeaverton.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
wmacnews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
actualite.co,No,No,No,No,No,No,No,No,No,No,Yes,No,1
blacklistednews.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
