,Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,domain,volume
94,barenakedislam.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,barenakedislam.com,100.0
95,barnesreview.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1,barnesreview.org,32.0
96,battypost.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
97,bb4sp.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,bb4sp.com,100.0
98,beehivebugle.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
99,beforeitsnews.com,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,5,beforeitsnews.com,100.0
100,benjaminfulford.typepad.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
101,bestthings.us,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
102,betootaadvocate.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
103,bients.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
104,bigamericannews.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,,
105,bigbluedimension.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
106,bigbluevision.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
107,bigbluevision.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
108,bighairynews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
109,bignuggetnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
110,bikers4trump.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1,,
111,bipartisanreport.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,,
112,bizstandardnews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
113,blackgenocide.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
114,blackinsurancenews.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
115,blackinusrancenews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
116,blacklistednews.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,,
117,blog.veterantv.net,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
118,bluelinestrong.net,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
119,bluenationreview.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,,
120,bluevision.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
121,bluevisionpost.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
122,borderherald.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
123,borowitzreport.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
124,bostonleader.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,,
125,bostontribune.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
126,brasschecktv.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1,,
127,breaking911.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
128,breakingnews247.net,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,,
129,breakingnews365.net,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,,
130,breakingnewsblast.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
131,breakingtop.world,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
132,breitbart.com,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3,,
133,brotherjohnf.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
134,bullionbullscanada.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
135,burrardstreetjournal.com,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,3,,
136,buzzfeedusa.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
137,bvanews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
138,callthecops.net,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,3,,
139,canadafreepress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
140,cannasos.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
141,cap-news.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
142,cartelpress.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
143,cartelreport.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
144,cbsnews.com.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
145,celebtricity.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,,
146,centerforsecuritypolicy.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
147,centerforsecuritypolicy.org/#articles,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
148,channel-7-news.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
149,channel16news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
150,channel17news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
151,channel18news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,,
152,channel22news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
153,channel23news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
154,channel24news.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,,
155,channel28news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
156,channel33news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
157,channel34news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
158,channel40news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
159,channel45news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
160,channel46news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
161,channel5000.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
162,channel55news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
163,channel56news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
164,channel59news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
165,channel60news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
166,channel62news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
167,channel63news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
168,channel65news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
169,channel66news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
170,channel68news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
171,channel77news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
172,charismanews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
173,chaser.com.au,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
174,checkoutthehealthyworld.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
175,chemtrailsplanet.net,No,No,No,No,No,No,No,No,Yes,No,No,No,1,,
176,chicksontheright.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
177,christianfightback.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
178,christiantimes.com,No,No,No,No,Yes,No,No,No,No,No,No,No,1,,
179,christiantimesnewspaper.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,,
180,christiantoday.info,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
181,christwire.org,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,,
182,chronicle.su,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,,
183,citizensunited.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
184,city-herald.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
185,cityworldnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
186,civictribune.com,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,6,,
187,clancyreport.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
188,clashdaily.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
189,clickhole.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4,,
190,cnewsgo.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
191,cnn-business-news.ga,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
192,cnn-globalnews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
193,cnn-internationaledition.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
194,cnn.com.de,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
195,cnnews3.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
196,cnoticias.net,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
197,cnsnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
198,coasttocoastam.com,Yes,Yes,No,No,No,No,No,No,No,No,No,No,2,,
