Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
derfmagazine.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
disclose.tv,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,4
diyhours.net,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
donaldtrumppotus45.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
duffelblog.com,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,4
duhprogressive.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
educate-yourself.org,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
empireherald.com,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,4
empirenews.net,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8
empiresports.co,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,7
en.mediamass.net,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,4
enduringvision.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3
enhlive.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
fedsalert.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
fellowshipoftheminds.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
flashnewscorner.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
floridasunpost.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
fprnradio.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
freedomdaily.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
freedomoutpost.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
freewoodpost.com,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,4
freshdailyreport.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
fromthetrenchesworldreport.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
geoengineeringwatch.org,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
globalassociatednews.com,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,3
globalpoliticsnow.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
globalresearch.ca,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
gomerblog.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
govtslaves.info,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
gulagbound.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
gummypost.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
hangthebankers.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
healthycareandbeauty.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
healthyworldhouse.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
houstonchronicle-tv.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
humansarefree.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
huzlers.com,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8
ifyouonlynews.com,No,No,No,No,Yes,No,No,No,No,Yes,No,No,2
infowars.com,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,6
intellihub.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
interestingdailynews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
investmentwatchblog.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
itaglive.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
jewsnews.co.il,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
jonesreport.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
katehon.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
kmt11.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
konkonsagh.biz,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
krbcnews.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
ky12news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
lastdeplorables.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
learnprogress.org,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
lewrockwell.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
liberalplug.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
libertyalliance.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
libertymovementradio.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
libertytalk.fm,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
libertyvideos.org,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
local31news.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
madworldnews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
majorthoughts.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
mediamass.net,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
mentor2day.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
metropolitanworlds.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
mississippiherald.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
msnbc.website,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
nationalreport.net,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10
naturalnews.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4
nbc.com.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
ncscooper.com,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,3
neonnettle.com,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,4
nephef.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
newpoliticstoday.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
news4ktla.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
newsbiscuit.com,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,4
newsbreakshere.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
newsbysquad.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
newsconservative.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
newsdaily12.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
newsexaminer.net,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
newsfeedhunter.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
newsleak.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
newslo.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,6
newsmutiny.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3
newswatch33.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
newswire-24.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
nodisinfo.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
notallowedto.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
now8news.com,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,5
nowtheendbegins.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
nymeta.co,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
occupydemocrats.com,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3
onepoliticalplaza.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
openmagazines.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
