Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,2018-01-20 04:42:30,2018-02-20 16:55:53,2018-02-27 16:56:00
twitchy.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,100.0,100.0,100.0
unconfirmedsources.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,1.0
undergroundnewsreport.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
unitedmediapublishing.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,0.0,0.0,0.0
universepolitics.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,1.0,0.0,0.0
usa-radio.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usa-television.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usadailyinfo.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usadailytime.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
usadosenews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usafirstinformation.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usanewsflash.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,1.0,0.0,1.0
usanewstoday.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usapolitics24hrs.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usapoliticsnow.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usapoliticstoday.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,63.0,23.0,16.0
usapoliticszone.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usasnich.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usasupreme.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,7.0,3.0,0.0
usatodaynews.me,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
ushealthyadvisor.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
ushealthylife.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
usherald.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,51.0,51.0,16.0
usinfonews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
uspoln.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
uspostman.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,100.0,0.0
